Date,Price,Open,High,Low
2/14/2013,1.0007,1.0019,1.0025,0.9997
2/15/2013,1.0062,1.001,1.0084,0.9999
2/18/2013,1.0104,1.0064,1.0122,1.0057
2/19/2013,1.0112,1.0107,1.0139,1.0101
2/20/2013,1.0165,1.0114,1.0187,1.0109
2/21/2013,1.0182,1.0168,1.0209,1.0162
2/22/2013,1.0213,1.0185,1.0258,1.0158
2/25/2013,1.026,1.0217,1.0279,1.0208
2/26/2013,1.0258,1.0261,1.0304,1.024
2/27/2013,1.0225,1.0261,1.0279,1.0227
2/28/2013,1.0303,1.0229,1.0315,1.0216
3/1/2013,1.0267,1.0307,1.0343,1.0261
3/4/2013,1.0272,1.0272,1.0311,1.0263
3/5/2013,1.0269,1.0273,1.0295,1.0255
3/6/2013,1.0319,1.0269,1.0338,1.0254
3/7/2013,1.0293,1.032,1.0331,1.0284
3/8/2013,1.0283,1.0295,1.0316,1.0234
3/11/2013,1.0257,1.029,1.0296,1.0254
3/12/2013,1.0256,1.0259,1.0285,1.0248
3/13/2013,1.0274,1.0256,1.0297,1.0245
3/14/2013,1.0221,1.0276,1.0285,1.0211
3/15/2013,1.0193,1.0223,1.0233,1.018
3/18/2013,1.0219,1.0204,1.0252,1.0202
3/19/2013,1.0266,1.0221,1.0286,1.0211
3/20/2013,1.0259,1.0267,1.0281,1.0236
3/21/2013,1.0251,1.026,1.0267,1.0199
3/22/2013,1.0231,1.0251,1.0265,1.0219
3/25/2013,1.0212,1.0232,1.0238,1.0186
3/26/2013,1.0158,1.0213,1.0223,1.0157
3/27/2013,1.0159,1.0161,1.0197,1.0148
3/28/2013,1.0161,1.016,1.0176,1.0144
3/29/2013,1.0172,1.0162,1.0183,1.0154
4/1/2013,1.0167,1.0177,1.0184,1.0156
4/2/2013,1.0143,1.017,1.0171,1.0123
4/3/2013,1.0143,1.0147,1.0157,1.0123
4/4/2013,1.0124,1.0145,1.0168,1.0103
4/5/2013,1.0173,1.013,1.0237,1.0122
4/8/2013,1.0164,1.0172,1.0216,1.0154
4/9/2013,1.0163,1.0166,1.0177,1.0132
4/10/2013,1.0141,1.0162,1.0171,1.0138
4/11/2013,1.0102,1.0143,1.0158,1.0081
4/12/2013,1.0133,1.0105,1.0147,1.0092
4/15/2013,1.0254,1.0133,1.0261,1.0126
4/16/2013,1.0205,1.0256,1.0259,1.0201
4/17/2013,1.0261,1.0208,1.0295,1.0205
4/18/2013,1.0258,1.0267,1.0279,1.0228
4/19/2013,1.0262,1.0261,1.0271,1.023
4/22/2013,1.0252,1.0258,1.0287,1.0247
4/23/2013,1.0256,1.0257,1.0287,1.0249
4/24/2013,1.0255,1.0254,1.028,1.0245
4/25/2013,1.0196,1.0257,1.0262,1.0185
4/26/2013,1.0166,1.0199,1.0216,1.0156
4/29/2013,1.0108,1.0173,1.0174,1.0105
4/30/2013,1.0071,1.0112,1.0125,1.0055
5/1/2013,1.0083,1.0073,1.0102,1.0049
5/2/2013,1.0102,1.0084,1.0111,1.0057
5/3/2013,1.0079,1.0105,1.0134,1.0074
5/6/2013,1.0067,1.0081,1.0098,1.0063
5/7/2013,1.0042,1.007,1.0084,1.0035
5/8/2013,1.0028,1.0042,1.006,1.0017
5/9/2013,1.0067,1.0032,1.0091,1.0013
5/10/2013,1.0098,1.0068,1.0154,1.0061
5/13/2013,1.0104,1.0092,1.0135,1.008
5/14/2013,1.0179,1.0107,1.0185,1.0088
5/15/2013,1.0157,1.0181,1.022,1.0155
5/16/2013,1.0192,1.0154,1.0209,1.0147
5/17/2013,1.0276,1.0197,1.0314,1.0178
5/20/2013,1.024,1.028,1.0298,1.0216
5/21/2013,1.0263,1.0241,1.0323,1.0235
5/22/2013,1.0367,1.0265,1.0389,1.025
5/23/2013,1.0302,1.0368,1.0395,1.0286
5/24/2013,1.0317,1.0305,1.0358,1.0299
5/27/2013,1.0337,1.0312,1.0344,1.0299
5/28/2013,1.0397,1.0341,1.041,1.0322
5/29/2013,1.0351,1.0398,1.0422,1.0343
5/30/2013,1.0296,1.0352,1.0389,1.0292
5/31/2013,1.0375,1.0298,1.0383,1.0291
6/3/2013,1.0276,1.0363,1.0387,1.0261
6/4/2013,1.0339,1.0277,1.0363,1.0273
6/5/2013,1.0344,1.0341,1.0382,1.0326
6/6/2013,1.0261,1.0345,1.0368,1.0197
6/7/2013,1.0194,1.0261,1.0289,1.0166
6/10/2013,1.0191,1.0202,1.0226,1.0166
6/11/2013,1.0184,1.0191,1.0252,1.0173
6/12/2013,1.0207,1.0185,1.0219,1.0153
6/13/2013,1.0156,1.0213,1.0227,1.0145
6/14/2013,1.0167,1.0158,1.0188,1.0134
6/17/2013,1.0182,1.0169,1.0207,1.0147
6/18/2013,1.0209,1.0185,1.0219,1.0173
6/19/2013,1.0272,1.0211,1.0288,1.0172
6/20/2013,1.0388,1.0274,1.0396,1.0263
6/21/2013,1.0455,1.0389,1.049,1.0361
6/24/2013,1.0496,1.0451,1.0558,1.0449
6/25/2013,1.0511,1.05,1.0549,1.0454
6/26/2013,1.0467,1.0515,1.053,1.0456
6/27/2013,1.0476,1.0469,1.0506,1.0421
6/28/2013,1.0518,1.0477,1.0555,1.045
7/1/2013,1.0495,1.0516,1.0537,1.0486
7/2/2013,1.0543,1.0497,1.058,1.049
7/3/2013,1.05,1.0541,1.0566,1.05
7/4/2013,1.051,1.0505,1.0559,1.0469
7/5/2013,1.0577,1.0511,1.061,1.0509
7/8/2013,1.0555,1.0567,1.059,1.0543
7/9/2013,1.052,1.0561,1.0576,1.0511
7/10/2013,1.0464,1.0522,1.0542,1.0444
7/11/2013,1.0363,1.0467,1.0476,1.0322
7/12/2013,1.0392,1.0366,1.0406,1.0357
7/15/2013,1.0426,1.039,1.0435,1.0377
7/16/2013,1.0367,1.0429,1.0444,1.0361
7/17/2013,1.0402,1.0368,1.0441,1.0354
7/18/2013,1.0374,1.0404,1.0441,1.0373
7/19/2013,1.0365,1.0379,1.0395,1.0353
7/22/2013,1.0334,1.0366,1.0371,1.0319
7/23/2013,1.0285,1.0334,1.0351,1.0275
7/24/2013,1.0315,1.0286,1.0327,1.026
7/25/2013,1.0277,1.0317,1.0322,1.0253
7/26/2013,1.028,1.028,1.0305,1.026
7/29/2013,1.0264,1.0282,1.0288,1.0252
7/30/2013,1.0307,1.0266,1.0312,1.0257
7/31/2013,1.0275,1.0309,1.0337,1.0245
8/1/2013,1.0345,1.0277,1.0353,1.0265
8/2/2013,1.0385,1.0347,1.0404,1.0338
8/5/2013,1.0358,1.0385,1.0405,1.0358
8/6/2013,1.0374,1.036,1.0392,1.0347
8/7/2013,1.0422,1.0377,1.0447,1.0367
8/8/2013,1.0324,1.0423,1.0432,1.0302
8/9/2013,1.0286,1.0328,1.0355,1.0274
8/12/2013,1.0305,1.0294,1.0318,1.028
8/13/2013,1.0342,1.0307,1.035,1.0301
8/14/2013,1.0339,1.0343,1.0371,1.0316
8/15/2013,1.0304,1.0343,1.0366,1.0298
8/16/2013,1.0335,1.0305,1.0362,1.0291
8/19/2013,1.0344,1.0335,1.035,1.0315
8/20/2013,1.0389,1.0346,1.0403,1.0338
8/21/2013,1.0472,1.0392,1.0484,1.0386
8/22/2013,1.0515,1.0475,1.0532,1.0468
8/23/2013,1.0494,1.0516,1.057,1.0494
8/26/2013,1.0498,1.0498,1.0535,1.0494
8/27/2013,1.0473,1.0501,1.0542,1.047
8/28/2013,1.0484,1.0472,1.0513,1.0471
8/29/2013,1.053,1.0486,1.0543,1.0477
8/30/2013,1.0534,1.0532,1.056,1.0507
9/2/2013,1.0543,1.0522,1.0559,1.0513
9/3/2013,1.0531,1.0545,1.0562,1.0507
9/4/2013,1.0491,1.0535,1.0544,1.0473
9/5/2013,1.0503,1.0496,1.0518,1.0474
9/6/2013,1.0402,1.0505,1.0507,1.038
9/9/2013,1.037,1.0408,1.0423,1.0358
9/10/2013,1.0348,1.0371,1.0381,1.0328
9/11/2013,1.0319,1.0347,1.0367,1.0311
9/12/2013,1.0321,1.032,1.0338,1.0304
9/13/2013,1.035,1.0322,1.0358,1.0319
9/16/2013,1.0323,1.0353,1.0359,1.0281
9/17/2013,1.0294,1.0324,1.0336,1.0275
9/18/2013,1.0217,1.0297,1.0319,1.0201
9/19/2013,1.0261,1.0223,1.0269,1.0181
9/20/2013,1.0304,1.0266,1.0312,1.0261
9/23/2013,1.0281,1.03,1.0319,1.0272
9/24/2013,1.03,1.0284,1.0312,1.0271
9/25/2013,1.0312,1.0301,1.0321,1.0284
9/26/2013,1.0308,1.0314,1.0342,1.0301
9/27/2013,1.0303,1.0309,1.0334,1.0296
9/30/2013,1.0308,1.0303,1.0321,1.0274
10/1/2013,1.0322,1.0309,1.0338,1.0286
10/2/2013,1.0335,1.0324,1.0358,1.032
10/3/2013,1.0332,1.0337,1.0341,1.0311
10/4/2013,1.0294,1.0334,1.0342,1.0288
10/7/2013,1.0311,1.029,1.0335,1.0286
10/8/2013,1.0365,1.0313,1.0375,1.0305
10/9/2013,1.0391,1.0368,1.0409,1.0351
10/10/2013,1.0396,1.0395,1.0421,1.0369
10/11/2013,1.0347,1.0399,1.0414,1.034
10/14/2013,1.0352,1.0352,1.0377,1.0341
10/15/2013,1.0379,1.0354,1.0393,1.0329
10/16/2013,1.0326,1.0383,1.0387,1.0323
10/17/2013,1.0288,1.0326,1.0334,1.0279
10/18/2013,1.0285,1.029,1.0303,1.0275
10/21/2013,1.03,1.0294,1.0306,1.0285
10/22/2013,1.0284,1.0303,1.0312,1.0269
10/23/2013,1.0381,1.0286,1.0399,1.028
10/24/2013,1.0421,1.0382,1.0439,1.0365
10/25/2013,1.0447,1.0421,1.0463,1.0408
10/28/2013,1.0442,1.045,1.0453,1.0428
10/29/2013,1.0467,1.0446,1.0473,1.0427
10/30/2013,1.0478,1.047,1.0498,1.044
10/31/2013,1.0428,1.0481,1.0492,1.0409
11/1/2013,1.0419,1.0431,1.0455,1.0409
11/4/2013,1.042,1.0423,1.0432,1.0396
11/5/2013,1.0452,1.0425,1.0464,1.0415
11/6/2013,1.0418,1.0456,1.0461,1.041
11/7/2013,1.0457,1.0419,1.0465,1.0402
11/8/2013,1.0478,1.0462,1.0505,1.0443
11/11/2013,1.0475,1.0482,1.0489,1.0464
11/12/2013,1.0495,1.0478,1.051,1.0463
11/13/2013,1.0453,1.0495,1.0498,1.045
11/14/2013,1.0459,1.0455,1.0527,1.0439
11/15/2013,1.0438,1.0463,1.0486,1.0434
11/18/2013,1.0426,1.044,1.0448,1.0414
11/19/2013,1.0469,1.0429,1.0486,1.0414
11/20/2013,1.0453,1.0469,1.0476,1.0434
11/21/2013,1.0516,1.0454,1.0528,1.0444
11/22/2013,1.0513,1.0517,1.057,1.0511
11/25/2013,1.0542,1.0518,1.0585,1.0515
11/26/2013,1.0539,1.0543,1.056,1.0519
11/27/2013,1.0594,1.0542,1.0604,1.0529
11/28/2013,1.0578,1.0596,1.06,1.0568
11/29/2013,1.0614,1.0581,1.063,1.0557
12/2/2013,1.0641,1.0614,1.0655,1.0605
12/3/2013,1.0646,1.0644,1.0674,1.0629
12/4/2013,1.068,1.065,1.0709,1.0635
12/5/2013,1.0652,1.0684,1.0701,1.0624
12/6/2013,1.0634,1.0654,1.0707,1.062
12/9/2013,1.0627,1.0638,1.0671,1.0623
12/10/2013,1.0599,1.0627,1.0647,1.06
12/11/2013,1.0588,1.0602,1.0622,1.0583
12/12/2013,1.0638,1.0591,1.0658,1.0559
12/13/2013,1.0582,1.0639,1.0671,1.0578
12/16/2013,1.0594,1.0587,1.06,1.0572
12/17/2013,1.0605,1.0597,1.062,1.0575
12/18/2013,1.07,1.0607,1.0704,1.0601
12/19/2013,1.0662,1.0703,1.0729,1.066
12/20/2013,1.0634,1.0664,1.0739,1.0629
12/23/2013,1.0603,1.064,1.0655,1.0579
12/24/2013,1.0629,1.0606,1.0638,1.0604
12/25/2013,1.0633,1.0631,1.0641,1.0604
12/26/2013,1.0645,1.0631,1.0651,1.0615
12/27/2013,1.0703,1.0648,1.072,1.0618
12/30/2013,1.0645,1.0702,1.073,1.0634
12/31/2013,1.062,1.065,1.0659,1.0612
1/1/2014,1.0641,1.0623,1.065,1.0619
1/2/2014,1.0668,1.0644,1.0679,1.0587
1/3/2014,1.0632,1.0671,1.0674,1.0601
1/6/2014,1.0653,1.0636,1.0682,1.0608
1/7/2014,1.0764,1.0656,1.0783,1.065
1/8/2014,1.0818,1.0766,1.0831,1.0758
1/9/2014,1.0837,1.0817,1.0876,1.0816
1/10/2014,1.0891,1.084,1.0947,1.0835
1/13/2014,1.0861,1.0892,1.0931,1.0841
1/14/2014,1.0942,1.0863,1.0961,1.0857
1/15/2014,1.0933,1.0947,1.0993,1.0918
1/16/2014,1.0929,1.0935,1.0964,1.0903
1/17/2014,1.096,1.093,1.0985,1.0924
1/20/2014,1.0944,1.0963,1.0974,1.0929
1/21/2014,1.0965,1.0949,1.102,1.094
1/22/2014,1.1083,1.0968,1.1094,1.0951
1/23/2014,1.11,1.1087,1.1175,1.108
1/24/2014,1.1087,1.1101,1.1139,1.1052
1/27/2014,1.1113,1.1083,1.1119,1.1029
1/28/2014,1.1147,1.1117,1.1179,1.1076
1/29/2014,1.117,1.1154,1.1188,1.1101
1/30/2014,1.1155,1.117,1.12,1.1149
1/31/2014,1.1126,1.1157,1.1226,1.1086
2/3/2014,1.1116,1.1132,1.1137,1.104
2/4/2014,1.1081,1.112,1.1125,1.1046
2/5/2014,1.1082,1.1082,1.1123,1.1036
2/6/2014,1.1068,1.1083,1.1124,1.1048
2/7/2014,1.1031,1.1071,1.1081,1.0966
2/10/2014,1.1054,1.1034,1.1064,1.1017
2/11/2014,1.1004,1.1053,1.1092,1.1
2/12/2014,1.0999,1.1008,1.1027,1.0973
2/13/2014,1.0972,1.1003,1.1028,1.0952
2/14/2014,1.0977,1.0977,1.0991,1.0938
2/17/2014,1.096,1.0991,1.0999,1.0952
2/18/2014,1.0945,1.0963,1.0978,1.0938
2/19/2014,1.1076,1.0949,1.1088,1.0908
2/20/2014,1.1095,1.108,1.1114,1.1058
2/21/2014,1.1109,1.11,1.1181,1.109
2/24/2014,1.1055,1.1113,1.1144,1.1052
2/25/2014,1.1081,1.1062,1.1098,1.1052
2/26/2014,1.1126,1.1084,1.1146,1.1071
2/27/2014,1.1118,1.1128,1.1161,1.1116
2/28/2014,1.1064,1.1121,1.1137,1.104
3/3/2014,1.1076,1.1054,1.1111,1.1038
3/4/2014,1.1091,1.1077,1.1119,1.106
3/5/2014,1.1025,1.109,1.1102,1.1027
3/6/2014,1.0984,1.1029,1.1048,1.0953
3/7/2014,1.1081,1.0986,1.1102,1.0977
3/10/2014,1.1107,1.1078,1.1132,1.1071
3/11/2014,1.1103,1.1107,1.1133,1.1069
3/12/2014,1.1118,1.1106,1.1155,1.1089
3/13/2014,1.1073,1.1118,1.1124,1.1041
3/14/2014,1.1102,1.1071,1.1112,1.1062
3/17/2014,1.1051,1.1101,1.1109,1.1043
3/18/2014,1.1134,1.1052,1.1148,1.1025
3/19/2014,1.1234,1.1136,1.1272,1.112
3/20/2014,1.1239,1.124,1.128,1.1232
3/21/2014,1.1219,1.1243,1.1264,1.1173
3/24/2014,1.1191,1.122,1.1248,1.1183
3/25/2014,1.1165,1.1191,1.1212,1.1154
3/26/2014,1.1099,1.1167,1.1172,1.108
3/27/2014,1.103,1.1102,1.1108,1.1013
3/28/2014,1.106,1.1033,1.1079,1.1
3/31/2014,1.1048,1.1065,1.107,1.1001
4/1/2014,1.1021,1.105,1.1072,1.101
4/2/2014,1.1029,1.1024,1.1049,1.1002
4/3/2014,1.1031,1.1033,1.1047,1.1004
4/4/2014,1.0978,1.1037,1.1044,1.0955
4/7/2014,1.0971,1.0979,1.1011,1.096
4/8/2014,1.0921,1.0976,1.0979,1.091
4/9/2014,1.0877,1.092,1.0944,1.0856
4/10/2014,1.0933,1.0879,1.0938,1.0865
4/11/2014,1.0979,1.0936,1.0986,1.0916
4/14/2014,1.096,1.0962,1.0994,1.094
4/15/2014,1.0973,1.0962,1.1014,1.0957
4/16/2014,1.1008,1.0978,1.1036,1.0959
4/17/2014,1.1001,1.101,1.1021,1.0982
4/18/2014,1.1014,1.1003,1.103,1.0996
4/21/2014,1.1009,1.102,1.1033,1.1006
4/22/2014,1.1023,1.101,1.1044,1.0998
4/23/2014,1.1031,1.1027,1.1055,1.1015
4/24/2014,1.102,1.1033,1.104,1.1012
4/25/2014,1.1036,1.1021,1.1049,1.1013
4/28/2014,1.1027,1.1038,1.1044,1.1015
4/29/2014,1.0941,1.1029,1.1031,1.0941
4/30/2014,1.0958,1.0944,1.0981,1.094
5/1/2014,1.0954,1.0962,1.0997,1.095
5/2/2014,1.0973,1.0956,1.1007,1.0936
5/5/2014,1.0953,1.0978,1.0991,1.0947
5/6/2014,1.0891,1.0956,1.0963,1.0872
5/7/2014,1.0898,1.0892,1.0909,1.0875
5/8/2014,1.083,1.09,1.0905,1.0812
5/9/2014,1.0893,1.0833,1.0918,1.0814
5/12/2014,1.0894,1.0903,1.0909,1.0873
5/13/2014,1.0902,1.0895,1.0928,1.0885
5/14/2014,1.0887,1.0907,1.0923,1.0868
5/15/2014,1.0885,1.0888,1.0892,1.085
5/16/2014,1.0855,1.0886,1.089,1.0853
5/19/2014,1.0874,1.0861,1.0878,1.0849
5/20/2014,1.0906,1.0876,1.0918,1.0865
5/21/2014,1.0912,1.0908,1.0944,1.0892
5/22/2014,1.0886,1.0913,1.0932,1.0884
5/23/2014,1.0861,1.089,1.091,1.086
5/26/2014,1.0857,1.0871,1.0876,1.085
5/27/2014,1.0853,1.086,1.0876,1.0833
5/28/2014,1.0871,1.0856,1.0888,1.084
5/29/2014,1.0834,1.0875,1.088,1.0823
5/30/2014,1.0841,1.0837,1.087,1.082
6/2/2014,1.0899,1.0846,1.0913,1.0838
6/3/2014,1.0905,1.09,1.0924,1.0888
6/4/2014,1.0938,1.0909,1.0957,1.0905
6/5/2014,1.0923,1.0937,1.0962,1.0914
6/6/2014,1.0932,1.0925,1.0949,1.0907
6/9/2014,1.0902,1.0928,1.0943,1.0899
6/10/2014,1.0899,1.0905,1.0923,1.0888
6/11/2014,1.0865,1.0904,1.0909,1.0859
6/12/2014,1.085,1.0869,1.0871,1.0839
6/13/2014,1.0854,1.0857,1.0871,1.0845
6/16/2014,1.0842,1.0859,1.0884,1.0835
6/17/2014,1.0858,1.0843,1.0877,1.0838
6/18/2014,1.0836,1.0862,1.0888,1.0833
6/19/2014,1.0815,1.0837,1.0845,1.0807
6/20/2014,1.0757,1.0819,1.0827,1.0749
6/23/2014,1.0727,1.0763,1.0766,1.0716
6/24/2014,1.0743,1.073,1.0747,1.0713
6/25/2014,1.0715,1.0744,1.0753,1.0715
6/26/2014,1.0688,1.072,1.0726,1.0681
6/27/2014,1.0665,1.0686,1.0698,1.0658
6/30/2014,1.0667,1.0662,1.0698,1.0645
7/1/2014,1.0631,1.0672,1.068,1.0628
7/2/2014,1.0662,1.0631,1.0672,1.0624
7/3/2014,1.0633,1.0663,1.0682,1.0618
7/4/2014,1.0653,1.0635,1.0661,1.0628
7/7/2014,1.0682,1.0654,1.0686,1.0629
7/8/2014,1.0676,1.0684,1.0696,1.066
7/9/2014,1.065,1.068,1.0685,1.0639
7/10/2014,1.0647,1.0651,1.0678,1.0642
7/11/2014,1.0731,1.065,1.0738,1.0628
7/14/2014,1.0708,1.0734,1.0749,1.0707
7/15/2014,1.0756,1.071,1.0771,1.0707
7/16/2014,1.074,1.0759,1.0796,1.0722
7/17/2014,1.0761,1.0742,1.0766,1.0725
7/18/2014,1.0729,1.0761,1.0768,1.0708
7/21/2014,1.0734,1.0737,1.0754,1.0724
7/22/2014,1.0737,1.0739,1.0761,1.0728
7/23/2014,1.0726,1.0739,1.0747,1.0709
7/24/2014,1.0743,1.0728,1.0753,1.0715
7/25/2014,1.081,1.0745,1.0822,1.0735
7/28/2014,1.0794,1.0815,1.0823,1.0795
7/29/2014,1.085,1.0798,1.0867,1.0794
7/30/2014,1.0901,1.085,1.0919,1.0846
7/31/2014,1.0904,1.0903,1.0931,1.0875
8/1/2014,1.0914,1.0907,1.0945,1.0883
8/4/2014,1.0905,1.0917,1.0936,1.0904
8/5/2014,1.0958,1.0905,1.0978,1.0904
8/6/2014,1.0913,1.0962,1.0987,1.0909
8/7/2014,1.0925,1.0915,1.094,1.0902
8/8/2014,1.0971,1.0927,1.0986,1.0908
8/11/2014,1.0921,1.0972,1.0979,1.0916
8/12/2014,1.0923,1.0921,1.0955,1.0912
