order_id,order_number,order_date,fk_order_date,fk_customer,fk_product,order_item_id,unit_price,discount_value,price_paid
16907982,489164746,2020-04-23,20200423,1064,30018,16934382,164.99,0.00,164.99
16976742,496310746,2020-04-23,20200423,2027,35154,17003142,119.99,0.00,119.99
17003202,482706746,2020-04-23,20200423,2027,6572,17029602,3.98,3.98,0.00
17013534,494948866,2020-04-23,20200423,2027,24454,17039934,4.99,4.99,0.00
17118450,504946866,2020-04-30,20200430,1064,35152,17144850,174.99,0.00,174.99
17123334,499866866,2020-04-30,20200430,2027,35154,17149734,119.99,0.00,119.99
17295550,559697266,2020-05-07,20200507,1064,38942,17321950,129.99,0.00,129.99
17319286,527035266,2020-05-07,20200507,2027,35154,17345686,119.99,0.00,119.99
17446424,570771866,2020-05-07,20200507,1064,24454,17472826,4.99,4.99,0.00
17517334,479473666,2020-05-14,20200514,2027,35154,17543734,119.99,0.00,119.99
17538250,476777666,2020-05-14,20200514,1064,35148,17564650,139.99,0.00,139.99
17666654,564995466,2020-05-14,20200514,2027,6572,17693054,7.96,7.96,0.00
17670566,433155466,2020-05-14,20200514,1064,24454,17696966,4.99,4.99,0.00
17786286,514975066,2020-05-21,20200521,1064,35148,17812686,139.99,0.00,139.99
17819856,502887066,2020-05-21,20200521,2027,35154,17846256,119.99,0.00,119.99
17885540,432496266,2020-05-21,20200521,2027,6572,17911940,5.98,5.98,0.00
17895142,535116266,2020-05-21,20200521,1064,24454,17921542,4.99,4.99,0.00
18036418,475570666,2020-05-28,20200528,2027,35154,18062818,119.99,0.00,119.99
18075542,565768906,2020-05-28,20200528,1064,35148,18101942,139.99,0.00,139.99
18076682,425348906,2020-05-28,20200528,1064,6572,18103082,7.96,7.96,0.00
18090440,445144906,2020-05-28,20200528,2027,6572,18116840,7.96,7.96,0.00
18104122,534912906,2020-05-28,20200528,1064,24454,18130522,4.99,4.99,0.00
18108506,434898906,2020-05-28,20200528,2027,24454,18134906,4.99,4.99,0.00
18205722,511184506,2020-06-04,20200604,1064,35148,18232114,133.95,0.00,133.95
18229188,594258506,2020-06-04,20200604,2027,35154,18255580,119.90,0.00,119.90
18288876,588302506,2020-06-04,20200604,1064,6572,18315268,11.96,11.96,0.00
18300716,444746506,2020-06-04,20200604,2027,6572,18327108,5.98,5.98,0.00
18317894,565069306,2020-06-04,20200604,1064,24454,18344286,4.99,4.99,0.00
18399242,433643306,2020-06-11,20200611,1064,35148,18425634,133.95,0.00,133.95
18407002,464303306,2020-06-11,20200611,2027,35154,18433394,119.90,0.00,119.90
18490504,474855906,2020-06-11,20200611,1064,6572,18516896,43.92,43.92,0.00
18514458,517671906,2020-06-11,20200611,2027,6572,18540850,27.94,27.94,0.00
18652224,586787706,2020-06-18,20200618,1064,35148,18678616,133.95,0.00,133.95
18668182,478749506,2020-06-18,20200618,2027,35150,18694574,99.98,0.00,99.98
18714786,484657506,2020-06-18,20200618,2027,6572,18741178,31.92,31.92,0.00
18725514,499295506,2020-06-18,20200618,2027,24454,18751906,4.99,4.99,0.00
18779820,495649106,2020-06-25,20200625,1064,35152,18806212,164.98,0.00,164.98
18786068,444349106,2020-06-25,20200625,2027,35146,18812460,78.93,0.00,78.93
18884356,542447106,2020-06-25,20200625,1064,6572,18910748,27.96,27.96,0.00
18898818,484528306,2020-06-25,20200625,1064,24454,18925210,4.99,4.99,0.00
18994590,512362306,2020-07-02,20200702,2027,35146,19020982,78.93,0.00,78.93
19188546,494336934,2020-07-09,20200709,1064,35148,19214938,133.95,0.00,133.95
19228704,497982934,2020-07-09,20200709,2027,35146,19255096,78.93,0.00,78.93
19265746,468244534,2020-07-09,20200709,2027,6572,19292138,11.94,11.94,0.00
19276598,429292534,2020-07-09,20200709,2027,24454,19302990,4.99,4.99,0.00
19386366,491785334,2020-07-16,20200716,1064,35148,19412762,133.95,0.00,133.95
19425242,434597334,2020-07-16,20200716,2027,35146,19451634,78.93,0.00,78.93
19434908,432295334,2020-07-16,20200716,1064,6572,19461300,11.96,11.96,0.00
19506776,566945934,2020-07-23,20200723,1064,35148,19533168,133.95,0.00,133.95
19539226,533897934,2020-07-23,20200723,2027,35146,19565618,78.93,0.00,78.93
19600984,537107934,2020-07-23,20200723,1064,6572,19627376,23.96,23.96,0.00
19718154,510907734,2020-07-30,20200730,1064,35152,19744546,164.98,0.00,164.98
19733854,474229534,2020-07-30,20200730,2027,35146,19760246,78.93,0.00,78.93
19763338,474859534,2020-07-30,20200730,1064,6572,19789730,7.96,7.96,0.00
19769496,491359534,2020-07-30,20200730,2027,6572,19795888,11.94,11.94,0.00
19869730,558933134,2020-08-06,20200806,1064,35148,19896122,133.95,0.00,133.95
19873940,578773134,2020-08-06,20200806,2027,35146,19900332,78.93,0.00,78.93
19925588,425971134,2020-08-06,20200806,2027,6572,19951980,17.94,17.94,0.00
19937268,513983134,2020-08-06,20200806,2027,24454,19963660,4.99,4.99,0.00
20038246,555490334,2020-08-13,20200813,2027,35146,20064638,78.93,0.00,78.93
20060716,472822334,2020-08-13,20200813,1064,35148,20087108,133.95,0.00,133.95
20075308,558866334,2020-08-13,20200813,1064,6572,20101700,11.96,11.96,0.00
20085864,495308734,2020-08-13,20200813,2027,6572,20112256,17.94,17.94,0.00
20173144,472582734,2020-08-20,20200820,2027,35146,20199536,78.93,0.00,78.93
20193430,476866734,2020-08-20,20200820,1064,35148,20219822,133.95,0.00,133.95
20247132,588678894,2020-08-20,20200820,1064,6572,20273524,7.96,7.96,0.00
20252742,491196894,2020-08-20,20200820,2027,6572,20279134,17.94,17.94,0.00
20263510,524534894,2020-08-20,20200820,2027,24454,20289902,4.99,4.99,0.00
20313744,493488494,2020-08-27,20200827,2027,35146,20340136,78.93,0.00,78.93
20338028,445264494,2020-08-27,20200827,1064,35148,20364420,133.95,0.00,133.95
20427090,487306494,2020-08-27,20200827,2027,6572,20453482,17.94,17.94,0.00
20438228,434769294,2020-08-27,20200827,2027,24454,20464620,4.99,4.99,0.00
20500104,595935294,2020-09-03,20200903,1064,35152,20526496,164.98,0.00,164.98
20508552,510475294,2020-09-03,20200903,2027,35146,20534942,78.93,0.00,78.93
20542002,492567294,2020-09-03,20200903,2027,6572,20568394,17.94,17.94,0.00
20546720,459827294,2020-09-03,20200903,1064,24454,20573112,4.99,4.99,0.00
20547286,543027294,2020-09-03,20200903,2027,24454,20573678,4.99,4.99,0.00
20717594,445439694,2020-09-10,20200910,1064,35148,20743986,133.95,0.00,133.95
20782390,468827694,2020-09-10,20200910,2027,35146,20808782,78.93,0.00,78.93
20810640,597865494,2020-09-10,20200910,2027,6572,20837032,17.94,17.94,0.00
20821450,464313494,2020-09-10,20200910,2027,24454,20847842,4.99,4.99,0.00
20956564,533697094,2020-09-17,20200917,2027,35150,20982956,99.98,0.00,99.98
20962932,494377094,2020-09-17,20200917,1064,35148,20989324,133.95,0.00,133.95
21022168,465688294,2020-09-17,20200917,2027,6572,21048560,23.92,23.92,0.00
21032530,545428294,2020-09-17,20200917,2027,24454,21058922,4.99,4.99,0.00
21156940,524724694,2020-09-24,20200924,2027,35154,21183332,119.90,0.00,119.90
21185600,569578694,2020-09-24,20200924,1064,35148,21211992,133.95,0.00,133.95
21236452,547982694,2020-09-24,20200924,1064,6572,21262844,23.96,23.96,0.00
21250266,492786694,2020-09-24,20200924,1064,24454,21276660,4.99,4.99,0.00
21253832,453906694,2020-09-24,20200924,2027,6572,21280224,17.94,17.94,0.00
21253920,483906694,2020-09-24,20200924,2027,24454,21280312,4.99,4.99,0.00
21298194,508298974,2020-09-27,20200927,1064,44754,21324586,139.99,97.99,42.00
21305324,429158974,2020-09-28,20200928,2027,44754,21331716,139.99,97.99,42.00
21356934,490942974,2020-10-01,20201001,2027,35150,21383326,99.98,0.00,99.98
21452176,535834574,2020-10-01,20201001,1064,35148,21478568,133.95,0.00,133.95
21474050,575962574,2020-10-01,20201001,2027,6572,21500442,19.92,19.92,0.00
21478132,522422574,2020-10-01,20201001,1064,24454,21504524,4.99,4.99,0.00
21557890,524637374,2020-10-08,20201008,1064,35152,21584282,164.98,0.00,164.98
21628362,585325974,2020-10-08,20201008,2027,35150,21654754,99.98,0.00,99.98
21669954,487197974,2020-10-08,20201008,1064,6572,21696346,7.96,7.96,0.00
21678188,571895974,2020-10-08,20201008,2027,6572,21704580,47.92,47.92,0.00
21681060,497935974,2020-10-08,20201008,1064,24454,21707452,4.99,4.99,0.00
21685522,467955974,2020-10-08,20201008,2027,24454,21711914,4.99,4.99,0.00
21758196,595253774,2020-10-15,20201015,1064,35148,21784588,133.95,0.00,133.95
21848684,565889574,2020-10-15,20201015,2027,35146,21875076,78.93,0.00,78.93
21900230,459079574,2020-10-15,20201015,1064,24454,21926626,4.99,4.99,0.00
21901860,518297574,2020-10-15,20201015,2027,6572,21928252,11.94,11.94,0.00
21903602,564937574,2020-10-15,20201015,2027,24454,21929994,4.99,4.99,0.00
21981076,558445174,2020-10-22,20201022,2027,35146,22007468,78.93,0.00,78.93
22060132,559843174,2020-10-22,20201022,1064,35152,22086524,164.98,0.00,164.98
22139828,458936374,2020-10-22,20201022,1064,24454,22166220,4.99,4.99,0.00
22162248,511874374,2020-10-22,20201022,1064,40,22188640,0.00,0.00,0.00
22238144,453712774,2020-10-29,20201029,2027,35146,22264536,78.93,0.00,78.93
22306798,529462774,2020-10-29,20201029,1064,35148,22333190,133.95,0.00,133.95
22382576,443717034,2020-10-29,20201029,2027,6572,22408968,17.94,17.94,0.00
22391248,473795034,2020-10-29,20201029,1064,24454,22417640,4.99,4.99,0.00
22546976,575326634,2020-11-05,20201105,1064,35148,22573368,133.95,0.00,133.95
22567290,489229434,2020-11-05,20201105,2027,35146,22593682,78.93,0.00,78.93
22611928,476257434,2020-11-05,20201105,1064,6572,22638320,23.96,23.96,0.00
